"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","1","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","140","907","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Compre online Cinza por R$260,90. Temos entretela cavalinho de memória termocolante cinza 330g, entretela cavalinho de memória termocolante cinza 285g e mais. Faça seu pedido e pag...","183","1174","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Compre online Regulador Plástico por R$189,90. Temos Regulador Plástico Proflex para Boné 1.000 und. e mais. Faça seu pedido e pague-o online.","142","908","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","1","Filme plástico para bordado 45g, flexível e sem formaldeído, facilita o processo e reduz custos. Ideal para bordados infantis. Compre agora e agilize seu trabalho!","163","992","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","1","Fita termocolante dupla face para bainha rápida e prática. Ajuste barras sem costura com acabamento perfeito. Compre já!","120","763","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","1","A Lola Aviamentos está localizada em Apucarana - PR e é uma empresa focada na importação e distribuição de insumos, maquinários, e soluções para o ramo de co...","160","1025","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","1","Compre online Tecidos por R$247,50. Temos Tecido Suede 160g e mais. Faça seu pedido e pague-o online.","101","655","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","1","As entretelas não tecido de toque macio e rasgo orientado são compostas de poliéster e tem foco na área de vestuário feminino e infantil.","137","846","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","1","Compre online Acessórios por R$99,90. Temos cortador de amostras para gramatura, medidor de circunferência para bonés e mais. Faça seu pedido e pague-o online.","159","1026","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","1","deal para a confecção de peças de alto padrão, nossa entretela 100% algodão é desenvolvida especialmente para atender às exigências da alfaiataria e camisaria fina. Utilizada em colarinhos, golas, cós e outras aplicações estruturais, garante acabamento impecável, toque sofisticado e excelente performance na costura.","317","1980","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","1","Tela de Poliéster Mesh oferece leveza, ventilação e resistência ideal para vestuário e acessórios. Compre agora e garanta conforto e qualidade!","143","878","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","1","A entretela dupla face é utilizada para fazer o processo de patchwork de patches e apliques em tecidos ou outros materiais.","123","761","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","1","Nossa política de privacidade tem como objetivo deixar claro nosso compromisso em garantir a proteção dos dados solicitados ou coletados. Não fornecemos suas...","160","1023","Indexable",""
"https://lolaaviamentos.com.br/produtos/","1","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","140","907","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","1","Fita dupla face Lola com alta viscosidade, ideal para bordados, calçados e pisos. Compre e garanta fixação segura e duradoura!","126","790","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","1","Descubra o Tecido Suede, macio e resistente, ideal para estofados e decoração. Compre agora e transforme seus projetos com elegância e durabilidade!","148","936","Indexable",""
"https://lolaaviamentos.com.br/contato/","1","","0","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","1","A entretela para bordado de toque macio proporciona uma ótima definição aos bordados, e tem foco na área de vestuário feminino e infantil.","138","868","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","1","Compre entretelas de memória termocolantes em várias gramaturas e cores. Ideal para estruturar bonés, bolsas, roupas e evitar deformações.","138","880","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","1","Compre online Bordado por R$1,10. Temos entretela não tecido para bordado rasgável 70g lec-70, entretela não tecido para bordado rasgável 50g lec-50 e mais. Faça seu pedido e pague...","183","1158","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Compre online Branca por R$171,90. Temos entretela cavalinho de memória termocolante branca 280g, entretela cavalinho de memória termocolante branca 220g e mais. Faça seu pedido e p...","184","1190","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","1","Compre online Liquidação por R$39,90. Temos entretela não tecido para bordado rasgável 70g lec-70, botão de forrar / encapar para boné 13 mm 1.000 un. e mais. Faça seu pedido e pague-o...","187","1190","Non-Indexable","Canonicalised"
