arquivo,aparece_em,contexto,prioridade,alt_sugerido,onde_aplicar
LOGOTIPO-HORIZONTAL-3.png,Todas as 92 páginas (2x por página),Logo do header (desktop + mobile),P1,"Metal Indianápolis",Template Header Elementor (widget Imagem)
Pre-visualizacao-da-Grade-de-Formas.png,Todas as 92 páginas (2x por página),Logo branco do rodapé (wp-image-2804),P1,"Logotipo Metal Indianápolis - fundição e usinagem de ferro fundido",Template Footer Elementor (widget Imagem)
GUS03521-convertido-de-png-2-scaled.webp,/ (home),Seção "Tradição e Capacidade Industrial" — foto do galpão,P1,Galpão industrial da fundição Metal Indianápolis,Biblioteca de Mídia WP
GUS03534-convertido-de-png-scaled.webp,"/ e /empresa/ (+ resize 768x512)",Seção "Qualidade e Controle de Processo" — inspeção de peça,P1,Inspeção de qualidade de peça em ferro fundido,Biblioteca de Mídia WP
GUS03534-convertido-de-png.webp,/ e /empresa/ (upload em tamanho original),Mesma foto do arquivo scaled — attachment separado na biblioteca,P1,Inspeção de qualidade de peça em ferro fundido,Biblioteca de Mídia WP
7eTjJUHqbS33vmBMcDh6fM-1.webp,"/ e /empresa/",Seção "Qualidade e Controle de Processo" — controle dimensional,P1,Controle dimensional no laboratório da Metal Indianápolis,Biblioteca de Mídia WP
1982.png,/empresa/,Linha do tempo "Nossa História" (foto 1),P2,Acervo histórico da Metal Indianápolis anos 1980,Biblioteca de Mídia WP
1982-1.png,/empresa/,Linha do tempo "Nossa História" (foto 2),P2,Memória da fundição Metal Indianápolis,Biblioteca de Mídia WP
1982-2.png,/empresa/,Linha do tempo "Nossa História" (foto 3),P2,História da Metal Indianápolis na fundição,Biblioteca de Mídia WP
1982-3.png,/empresa/,Linha do tempo "Nossa História" (foto 4),P2,Acervo institucional da Metal Indianápolis,Biblioteca de Mídia WP
Certificado-Iso-Usinagem_page-0001-convertido-de-jpg-scaled.webp,/empresa/,Seção "Certificados e Políticas",P2,Certificado ISO 9001 da usinagem Metal Indianápolis,Biblioteca de Mídia WP
Certificado-ISO-Fundicao_page-0001-convertido-de-jpg-scaled.webp,/empresa/,Seção "Certificados e Políticas",P2,Certificado ISO 9001 da fundição Metal Indianápolis,Biblioteca de Mídia WP
POLITICA-DA-QUALIDADE-rev.01_page-0001.jpg,/empresa/,Documento — Política da Qualidade,P2,Política da Qualidade Metal Indianápolis,Biblioteca de Mídia WP
OBJETIVOS-DA-QUALIDADE-rev.03_page-0001.jpg,/empresa/,Documento — Objetivos da Qualidade,P2,Objetivos da Qualidade Metal Indianápolis,Biblioteca de Mídia WP
