Ad report
"June 1, 2026 - June 30, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,ad.display_url,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Video,Ad strength,Ad strength improvements,Conv. rate,Conversions,Cost / conv.
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,B2B Cut Water Costs, --,Maximize NOI. Smart Mgmt, --,Commercial System Pros, --,Commercial Irrigation Services, --,Guaranteed Port. Savings, --,General Contractors, --,Bulk Rate Discounts, --,HOA & Multi-Family Exp., --,Easy Centralized Billing, --,Get Master Water Plan, --,Reliable Asset Service, --,Schedule Priority B2B, --,Cost Optimization, --,Stop High Bills. Save, --,Top PM Support, --,B2B irrigation management. Reduce water costs across your portfolio with smart systems., --,Smart solutions for commercial systems Easy scheduling single source billing efficiency., --,We service HOAs and multi-family Proactive maintenance and reliable service protect assets, --,Smart irrigation solutions tailored for Scottsdale's unique desert environment., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,,Responsive search ad,USD,0.00,1,0,0.00%,0,0.00, --,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,Irrigation System Near You, --,Serving Scottsdale Area, --,Tailored to Scottsdale, --,Visit Our Website Now, --,"Fast, Reliable Service", --,Schedule Your Free Inspection, --,Contact Us Today, --,Irrigation Company, --,Landscape Irrigation, --,Irrigation Repair, --,Healthy & Lush Landscaping, --,Irrigation Services, --,Reliable & Efficient Service, --,Water Saving Solutions, --,Proven Water Savings, --,Tailored to Your Property. Weather-Based Smart Controllers. High-Efficiency Nozzles., --,Conserva Irrigation in Scottsdale. Request a Free Inspection Now!, --,Keep Your Irrigation System in Top Condition Year Round., --,Don't Let Another Drop Go To Waste! Schedule Your Free Inspection Now., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,,Responsive search ad,USD,0.00,2,0,0.00%,0,0.00, --,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,{KeyWord:Spring Sprinkler Startup}, --,{KeyWord:Sprinkler System Audit}, --,{KeyWord:Irrigation Maintenance}, --,Expert {KeyWord:Sprinkler Tune Up}, --,$99 Spring Startup Special, --,Prevent Dry Spots & Leaks, --,Summerize Your System, --,Avoid Costly Summer Repairs, --,Free Efficiency Score, --,Ready for AZ Summer Heat?, --,Conserva Irrigation AZ, --,Certified Technicians, --,Comprehensive 12-Point Check, --,Book Your Service Online, --,Trusted Scottsdale Pros, --,Get your system ready for summer heat with our $99 Spring Startup special. Book now., --,Includes our proprietary System Efficiency Score (SES). Find hidden waste fast., --,Prevent dry spots and leaks. Our 12-point inspection ensures your lawn thrives., --,Limited slots for Spring Startup. Schedule your professional irrigation tune-up today., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,,Responsive search ad,USD,363.96,137,4,2.92%,12.47,49.86, --,Excellent,,50.00%,2.00,24.93
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,{KeyWord:Smart Irrigation System}, --,{KeyWord:Wifi Sprinkler Control}, --,{KeyWord:Sprinkler Installation}, --,Local {KeyWord:Irrigation Pros}, --,Save 60% on Water Bills, --,Scottsdale Rebate Ready, --,Lush Green Lawn Guaranteed, --,Stop Wasting Water Now, --,Smart Home Integrated, --,Eco-Friendly Solutions, --,Conserva Irrigation, --,Toro® & Hunter® Partners, --,5-Year System Warranty, --,Get a Free Efficiency Quote, --,Top-Rated in Scottsdale, --,Upgrade to smart irrigation & save up to 60% on water bills. Get rebate ready., --,Control your sprinklers from your phone. Expert installation of water-saving Toro® tech., --,"Don't just water your lawn, manage it. Smart systems that pay for themselves.", --,The only irrigation company founded on conservation. Join the efficiency revolution., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,,Responsive search ad,USD,0.00,2,0,0.00%,0,0.00, --,Excellent,,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,Irrigation Company Near You, --,Irrigation System Repair, --,"Save Water, Save Money Now", --,Seasonal Maintenance Packages, --,"Thriving Lawns, Less H20", --,Enhance Your Outdoor Oasis, --,Visit Our Website Now, --,Get A Quote, --,Contact Us Now, --,"Water Wise, Landscape Lush", --,"Fix Sprinklers, Fast & Easy", --,Sprinkler Repair. Done Right, --,Top Rated Local Irrigation, --,Backflow Preventer Repair, --,Sprinkler Woes? Conserva, --,Conserva Irrigation in Scottsdale - Professional Irrigation Services, --,We offer a range of services including backflow preventer repair and replacement, --,"Drip Irrigation Done Right! Conserva Irrigation: Save Water, Save Money", --,"Sprinkler Head Repair: Tiny Fix, Huge Impact. Conserva Irrigation", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --,utm_source=v4google&utm_medium=search&utm_campaign=services&utm_content=group10&utm_term={keyword},,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,,Responsive search ad,USD,0.00,1,0,0.00%,0,0.00, --,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,{KeyWord:Smart Irrigation System}, --,Save 60% on Water Bills, --,{KeyWord:Sprinkler Installation}, --,Scottsdale Rebate Ready, --,{KeyWord:Wifi Sprinkler Control}, --,Toro® & Hunter® Partners, --,Conserva Irrigation AZ, --,Get Your Free Quote, --,Smart Home Integrated, --,Stop Wasting Water, --,Upgrade Your Sprinklers, --,5-Year Warranty Available, --,Sustainable Landscapes, --,Certified Techs in AZ, --,High-Efficiency Systems, --,Upgrade to smart irrigation. Save up to 60% on water bills. Get rebate ready., --,Control sprinklers from your phone. Expert installation of water-saving Toro® tech., --,"Don't just water your lawn, manage it. Smart systems that pay for themselves.", --,The only irrigation company founded on conservation. Join the efficiency revolution., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,,Responsive search ad,USD,0.00,1,0,0.00%,0,0.00, --,Excellent,,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com/irrigation-system-installation/, --, --, --, --, --, --, --, --,{KeyWord:Smart Irrigation System}, --,Save Up to 60% on Water Bills, --,Smart Sprinkler Installation, --,Scottsdale's Smart Irrigation, --,Control From Your Phone, --,Install Smart Sprinkler System, --,Toro & Hunter Certified, --,Get a Free Quote Today, --,Rebate Ready Systems, --,"Save Water, Save Money", --,Upgrade Your Irrigation, --,Stop Wasting Water, --,5-Year Warranty Available, --,"Lush Lawn, Less Water", --,Book Your Free Estimate, --,Save up to 60% on water bills with smart irrigation. Toro & Hunter certified. Free quote., --,Smart sprinkler installation in Scottsdale. Control from your phone. Free estimate today., --,"Don't just water your lawn. Smart irrigation, expert install. Call for a free quote.", --,"Precision smart irrigation. Licensed, insured, 5-star rated. Serving Greater Scottsdale.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,,Responsive search ad,USD,0,0,0, --,0,0.00, --,Excellent,,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,{KeyWord:Sprinkler System Repair}, --,{KeyWord:Emergency Sprinkler Fix}, --,Fast Repair in Scottsdale, --,Fix Leaks & Broken Heads, --,Stop HOA Fines Today, --,We Fix It Right First Time, --,Conserva Irrigation, --,Upfront Flat Rate Pricing, --,No Hidden Fees, --,100% Satisfaction Guarantee, --,Repair All Major Brands, --,Save Your Dying Lawn, --,Licensed & Insured Pros, --,Restore Curb Appeal, --,Schedule Repair Now, --,"Leak? Broken Head? We fix it fast. Upfront flat-rate pricing, no surprise fees.", --,Tired of no-shows? Uniformed techs arrive on time & fix it right the first time., --,Expert Diagnostics. We find the root cause of leaks & pressure issues. Any brand., --,Emergency Service Available. Don't let water waste spike your bill. Book today., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,Responsive search ad,USD,626.99,525,29,5.52%,11.35,329.17, --,Excellent,,3.45%,1.00,329.17
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,Irrigation System Install, --,Sprinkler System Install, --,New Irrigation System, --,Conserva Irrigation AZ, --,Scottsdale Sprinkler Pros, --,Save Water & Money, --,Lower Your Water Bill, --,Smart Irrigation Tech, --,High-Efficiency Systems, --,Professional Design, --,Residential Installation, --,Get A Free Quote, --,Book Your Consult, --,5-Star Rated Service, --,Irrigation System Near Me, --,Expert installation of sprinkler irrigation systems. Reduce usage by 60% with smart tech., --,Looking for an irrigation system? We design efficient solutions for the Arizona climate., --,Stop wasting water. Conserva Irrigation of Greater Scottsdale installs smart systems., --,Professional design and installation. Save money with the best sprinkler tech available., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,,Responsive search ad,USD,0.00,10,0,0.00%,0,0.00, --,Excellent,,0.00%,0.00,0.00
Enabled,https://conservairrigationofgreaterscottsdale.com/irrigation-repair/, --, --, --, --, --, --, --, --,Irrigation Repair Scottsdale, --,Reliable Irrigation Repair, --,Schedule Irrigation Repair Now, --,Expert Irrigation Repair, --,Immediate Repairs, --,Conserva Irrigation, --,Custom Irrigation Solutions, --,Transforming Your Garden, --,Water-Efficient Landscape, --,Maintain a healthy landscape, --,"Save water, reduce costs", --,Long-Term Maintenance, --,Learn More About Our Services, --,Contact Us Today, --, --, --,Irrigation Repair In Scottsdale - Conserva Irrigation Of Greater Scottsdale, --,Ideal Uses For Irrigation Repair In Arizona, --,Maintain a Healthy Landscape with Irrigation Repair, --,See What Our Clients Are Saying About Our Irrigation Repair Services, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,Responsive search ad,USD,474.98,661,29,4.39%,10.83,313.96, --,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,6.90%,2.00,156.98
Enabled,https://conservairrigationofgreaterscottsdale.com, --, --, --, --, --, --, --, --,Irrigation System Install, --,Sprinkler System Install, --,New Irrigation System, --,Install Sprinklers, --,Conserva Irrigation AZ, --,Scottsdale Irrigation, --,Local System Installers, --,Save Water and Money, --,Smart Water Technology, --,Eco-Friendly Watering, --,Lush Lawn Guarantee, --,Smart Partners, --,Drainage & Design, --,Get A Free Quote Today, --,Schedule Service Now, --,Reduce water usage by up to 60% with a smart irrigation system. Get a free quote today., --,Expert design & installation of high-efficiency sprinkler systems in Scottsdale. Call now., --,Don't let the Arizona heat ruin your lawn. Install a Conserva system for distinct beauty., --,We combine smart technology with water conservation. Professional installation. Book now., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,,Responsive search ad,USD,0.00,6,0,0.00%,0,0.00, --,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,0.00%,0.00,0.00
Total: Enabled ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --,USD,514.85,"1,346",62,4.61%,11.18,692.99, --, --, --,8.06%,5.00,138.60
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,304.86,"18,142","1,385",7.63%,3.99,5530.75,,,,6.35%,88.00,62.85
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,574.20,"1,671",79,4.73%,12.15,959.49,,,,6.33%,5.00,191.90
Total: Performance Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,286.39,"6,357",381,5.99%,4.78,1820.60,,,,3.41%,13.00,140.07
Total: Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,0,0,0, --,0,0.00,,,,0.00%,0.00,0.00
Total: Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,0,0,0, --,0,0.00,,,,0.00%,0.00,0.00
