"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://preview.indianapolis.com.br/","1","Fabricante de peças em ferro fundido nodular e cinzento com usinagem CNC de precisão. Mais de 60 anos de tradição e certificação ISO 9001. Solicite cotação!","156","983","","0","0","Indexable",""
"https://preview.indianapolis.com.br/ferro-fundido-cinzento/","2","O que é o ferro fundido cinzento? Descubra as características, tipos e aplicações desse material versátil e veja as soluções da Metal Indianápolis. Acesse!","155","941","O artigo explora as propriedades do ferro fundido cinzento, detalhando seus tipos (lamelar, nodular e compactado), suas aplicações industriais e a excelência de fabricação da Metal Indianápolis.","194","1198","Indexable",""
"https://preview.indianapolis.com.br/contato/","1","Entre em contato com a Metal Indianópolis. Solicite um orçamento para o seu projeto de peças em ferro fundido e usinagem CNC de precisão. Fale conosco!","151","961","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produtos/","1","Conheça nossa linha de peças industriais de ferro fundido. Fabricamos anéis de segmento, abraçadeiras e componentes sob desenho técnico com ISO 9001. Veja!","155","1001","","0","0","Indexable",""
"https://preview.indianapolis.com.br/preco-do-ferro-fundido-kg/","2","Como é definido o preço do ferro fundido kg? Descubra os fatores que influenciam o valor de mercado e o custo-benefício da Metal Indianápolis. Acesse!","150","937","O artigo analisa as principais variáveis que definem o preço do ferro fundido por quilo (como tipo de liga, logística e custos operacionais) e apresenta as vantagens comerciais da Metal Indianápolis.","199","1212","Indexable",""
"https://preview.indianapolis.com.br/blog/","1","Acompanhe o blog da Metal Indianópolis e acesse conteúdos técnicos sobre fundição, usinagem de precisão, ferro nodular, cinzento e processos. Confira!","150","949","","0","0","Indexable",""
"https://preview.indianapolis.com.br/fabrica-de-roldanas/","2","Procurando por uma fábrica de roldanas confiável? Saiba o que avaliar para garantir peças duráveis em sistemas de movimentação com a Metal Indianápolis. Acesse!","160","1027","O artigo aborda a importância de selecionar uma fábrica de roldanas qualificada para assegurar a eficiência de sistemas de movimentação de carga, destacando o rigor técnico da Metal Indianápolis.","195","1226","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/automotivo/","1","Fornecedor de peças automotivas em ferro fundido para veículos pesados. Componentes usinados de alta ductilidade e resistência mecânica. Peça um orçamento!","155","1007","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produto/camisa-compressor-ar/","2","Procurando camisa para compressor de ar de alta performance? Conheça as opções usinadas em CNC e brunidas da Metal Indianápolis. Solicite um orçamento!","151","990","A camisa para compressor de ar da Metal Indianápolis é fabricada em ferro fundido de liga especialmente desenvolvida, garantindo alta dissipação de calor, excelente resistência e maior vida útil ao sistema. Projetada para compressores a pistão de alta e baixa pressão, a peça é usinada em tornos CNC para assegurar um rigoroso controle dimensional e circularidade perfeita. O componente oferece a flexibilidade de ser fornecido semi-acabado ou totalmente acabado (brunido com rugosidade controlada para perfeita uniformidade da camada de óleo). Ideal para sistemas de freio a ar, locomotivas e refrigeração industrial, conta com a confiabilidade e padrão de qualidade da certificação ISO 9001:2015.","698","4353","Indexable",""
"https://preview.indianapolis.com.br/produto/anel-bipartido/","2","Procurando anel bipartido para regulagem de pinhão? Conheça os modelos em ferro fundido de alta precisão da Metal Indianápolis. Solicite um orçamento!","150","958","O anel bipartido da Metal Indianápolis é uma peça de alta precisão essencial para a regulagem do pinhão do diferencial Mercedes, desempenhando um papel crucial no perfeito funcionamento do sistema de transmissão automotiva. Fabricado em ferro fundido de excelente resistência e durabilidade, o componente passa por rigorosos processos de usinagem e retificação para assegurar um controle dimensional impecável. Disponível em diversas espessuras e diâmetros padronizados, também pode ser confeccionado sob medida de acordo com o desenho ou amostra do cliente. Com fabricação ágil e estoque estratégico para pronta entrega, oferece o melhor custo-benefício do mercado de reposição com garantia ISO 9001:2015.","706","4520","Indexable",""
